title,current_price,original_price,discount,seller_rating,seller,brand
[REFURBHISHED]HP Laptop 250G i7 5 Gen | 8GB DDR | HDD| 15.6 FHD Display - 4T085PA,"Rs. 110,000",,,No Ratings,oR1Cff8B,HP
[REFURBISHED] Lenovo ThinkPad T14 i5 10th Generation,"Rs. 111,573",,,No Ratings,AcePro Trading Pvt Ltd,Lenovo
Dell Latitude 5410 Laptop,"Rs. 112,000",,,No Ratings,M.finity,Dell
DELL Latitude 7480 – 14″ HD | Intel® Core™ i5 7th Gen | 16GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 Pro,"Rs. 112,500",,,No Ratings,PandaeKade,Dell
HP 15s-DU1114TU Laptop (hp NoteBook) JET BLACK MS Office Home & Student/WIN10/2Years/hp Warranty,"Rs. 135,000",,,Ratings 18,CELLX (PVT) LTD,HP
Dell Latitude 5400 i7 8th Gen 8GB/16GB 256GB SSD Laptop,"Rs. 113,300",,,Ratings 2,AcePro Trading Pvt Ltd,Dell
Hp EliteBook 840 G6 i7 8th Gen 16GB 512GB SSD 14INCH LAPTOP,"Rs. 113,500",,,No Ratings,AcePro Trading Pvt Ltd,HP
DELL I5 8TH GEN - E -5490 | 256GB ± 8GB RAM Laptop,"Rs. 113,999","Rs. 140,000",-19%,No Ratings,CS CENTER 2.0,Dell
Acer Aspire 3 laptop,"Rs. 114,900",,,No Ratings,Lenovo by Forttune,Acer
[REFURBISHED] MacBook Pro Retina i7 laptop,"Rs. 115,000",,,No Ratings,AcePro Trading Pvt Ltd,Apple
DELL Latitude 7480 – 14″ HD | Intel® Core™ i5 8th Gen | 16GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win10 Pro High Quality Laptop,"Rs. 115,000",,,No Ratings,PandaeKade,Dell
DELL 5570 – 14″ Inch HD | i7 6th Gen | 8GB DDR4 RAM | 256GB NVMe | 2GB VGA,"Rs. 115,000",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Dell
"[REFURBISHED] Lenovo Thinkpad X1 Carbon , Core i7 8th Gen 16GB Ram , 512GB SSD 14inch Ultrabook (weight 1Kg)","Rs. 115,000",,,Ratings 4,AcePro Trading Pvt Ltd,Lenovo
Dell Latitude 7480 Core i5 7th Gen 8gb RAM 256gb SSD Brand New Slim Laptop,"Rs. 115,500","Rs. 118,500",-3%,Ratings 3,Lushan enterprices,Dell
Ayme Intel 5095 16/512GB Laptop,"Rs. 118,000",,,No Ratings,Vtech.lk,Unspecified
"HP 15s Laptop DU1114TU ( Intel Celeron N4020) - 8GB RAM | 15.6"" HD | 256GB SSD | Win 10 Home","Rs. 118,800",,,No Ratings,LAPTOPSTORE.LK,HP
Dell Latitude 7400 i5 8th Gen,"Rs. 118,900",,,No Ratings,iPoint Lanka (Pvt)Ltd,Dell
CORE I5 8TH GEN ±16GB RAM ± 256GB NVME SSD - DELL 3400 Laptop,"Rs. 118,999","Rs. 145,000",-18%,No Ratings,CS CENTER 2.0,Dell
Asus Vivobook Flip 12 TP203,"Rs. 119,000","Rs. 120,000",-0.8%,No Ratings,Geek's world,Asus
"Hp Zbook 15 G5, i7 8th generation 16GB Ram 512GB with Nvidia P2000 4GB Graphics","Rs. 135,900",,,Ratings 9,AcePro Trading Pvt Ltd,HP
"[REFURBISHED] Hp Elitebook 840 G8 , i7 11th Gen Laptop, 16GB Ram 512GB SSD 14inch Laptop","Rs. 119,500",,,No Ratings,AcePro Trading Pvt Ltd,HP
"[REFURBISHED] Hp Elitebook 840 G7 , i7 10th Gen Laptop, 16GB Ram 512GB SSD 14inch Laptop","Rs. 119,500",,,Ratings 4,AcePro Trading Pvt Ltd,HP
"I7 6TH GEN ± AMD R7 VGA - 256GB M.2 SSD -15.6"" Screen (HP-850 G3) Laptop","Rs. 119,999","Rs. 143,000",-16%,No Ratings,CS CENTER 2.0,HP
"[REFURBISHED] HP EliteBook 850 G5 , i5 8th Gen 15 inch Laptop","Rs. 121,500",,,Ratings 1,AcePro Trading Pvt Ltd,HP
HP Elitebook 840 G6/ Corei5 8th Gen/ 8GB RAM 256GB SSD 14” Laptop,"Rs. 122,000",,,No Ratings,SIGNIFIC INTERNATIONAL PVT LTD,HP
Blackview AceBook 8 15.6″ 16GB RAM 512GB SSD,"Rs. 124,500",,,No Ratings,Epic Mobiles Private Limited,Unspecified
DELL | I5 8TH GEN ± 8GB RAM- 256GB NVME SSD Laptop (DELL Latitude 7490),"Rs. 124,999","Rs. 155,000",-19%,No Ratings,CS CENTER 2.0,Dell
LENOVO I7 10TH GEN,"Rs. 125,000",,,No Ratings,MATRIX SALUTATIONS,Lenovo
Dell Vostro 3520,"Rs. 125,000",,,No Ratings,Online Store-MDC,Dell
DELL LATITUDE 5480 CORE I5 7TH GEN 16GB RAM / 256GB SSD HIGH QUALITY LAPTOP,"Rs. 125,000",,,No Ratings,Lushan enterprices,Dell
Core i5 6th Gen 8GB Ram 256GB SDD Laptop 5480 Latitude,"Rs. 125,500",,,No Ratings,Dealz_LK,Dell
Hp Elitebook 840 G4 Touch Screen,"Rs. 125,500",,,No Ratings,Timestech.lk,HP
"Dell Latitude 5480 , Core i5 6th Gen 16GB Ram , 256GB SSD 14inch Laptop","Rs. 125,600",,,No Ratings,Dealz_LK,Dell
Dell Latitude 5310 i7 10th Gen,"Rs. 126,999",,,No Ratings,iPoint Lanka (Pvt)Ltd,Dell
Dell XPS 13 9370 i7 8th Gen 8GB Ram 256GB SSD,"Rs. 127,500",,,No Ratings,AcePro Trading Pvt Ltd,Dell
"Dell Latitude 3310 2-in-1 Laptop, 14-inch FHD (1920 x 1080) Touchscreen, Intel Core i5-8th Gen, 8GB RAM, 256GB Class 35 SSD, Windows 11 Pro- Titan Gray","Rs. 128,500","Rs. 132,500",-3%,No Ratings,Dealz_LK,Dell
HP EliteBook 840 G3 – 14″ i5 6th Gen 8GB Ram 256GB m.2 SSD BackLit Keyboard USB C Port Win10 Pro,"Rs. 129,000",,,No Ratings,TamilTimes Online shop,HP
Hp Elitebook 840 G7 i7 10th Gen 32GB DDR4 512GB SSD 14inch Laptop,"Rs. 130,000",,,No Ratings,RIGHT -WAY,HP
Dell Latitude 5420 Laptop 14 - Intel Core i5 11th Gen - i5-1145G7 - Quad Core 4.4Ghz - 256GB SSD - 16GB RAM,"Rs. 132,000",,,No Ratings,RIGHT -WAY,Dell
Hp Elitebook 840 G7 i7 10th Gen 32GB DDR4 512GB SSD 14inch Laptop,"Rs. 144,500",,,No Ratings,UB18 Computers Pvt Ltd,HP
DELL Latitude 5410 – 14″ HD | Intel® Core™ i5 10th Gen | 16GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win11 Pro High Quality,"Rs. 134,500","Rs. 152,500",-12%,No Ratings,Dealz_LK,Dell
HP 15-FC0238AU 15.6″ AMD Athlon Silver 7120U 8GB RAM 512GB Laptop,"Rs. 134,990",,,No Ratings,Epic Mobiles Private Limited,HP
HP - I5 8TH GEN ELITEBOOK 256GB M.2 ± 8GB RAM Laptop ( HP 840 G6),"Rs. 134,999","Rs. 165,000",-18%,No Ratings,CS CENTER 2.0,HP
"DELL 5500 | i5 8TH GEN ± 8GB RAM -256GB NVME SSD -15.6"" Display Laptop","Rs. 134,999","Rs. 165,000",-18%,No Ratings,CS CENTER 2.0,Dell
LAPTOP INTEL CORE I7,"Rs. 135,000",,,No Ratings,Maghnum.lk,Unspecified
HP ELITEBOOK 840 G5 | Core i5 8th Gen | 16GB DDR4 RAM | 512GB NVME SSD | Touch Screen | High Quality Laptop,"Rs. 135,000",,,No Ratings,Dealz_LK,HP
"Dell Latitude 5490 , Core i5 8th Gen 16GB Ram , 256GB SSD 14inch Laptop","Rs. 135,000",,,Ratings 1,Dealz_LK,Dell
DELL Latitude 5410 – 14″ HD | Intel® Core™ i5 10th Gen | 8GB DDR4 RAM | 256GB m.2 SSD | BackLit Keyboard | HDMI | USB C | Win11 Pro High Quality,"Rs. 135,500","Rs. 152,500",-11%,No Ratings,Dealz_LK,Dell
DELL LATITUDE 7490 CORE I5 8TH GEN 8GB RAM 256GB SSD 14 INCH HIGH QUALITY LAPTOP,"Rs. 135,500",,,No Ratings,Cyber Power LK 1637406306,Dell
"Dell Inspiron 3502 - Pentium Silver, 4GB RAM","Rs. 137,000",,,No Ratings,Dayarathna Technologies,Dell
"Dell Inspiron 3502 - Pentium Silver, 4GB Ram, 1TB Hdd (Black) / Lap Top","Rs. 137,412",,,No Ratings,Dayarathna Technologies,Dell
HP ProBook 430 G7 – i5 10th 8/256 13″ Touch (Re-new),"Rs. 151,000",,,No Ratings,IT Circle,HP
HP 15S - GR515AU laptop 15.6 Inches HD Display ( AMD Athlon 3050U ) 4GB DDR4 1TB HDD -FREE MS OFFIC and Win 10 Home 2YEARS AGENT WARRANTY,"Rs. 137,599",,,No Ratings,CELLX (PVT) LTD,HP
"Dell Inspiron Laptop 3510 - Pentium Silver, 4GB RAM, 1TB HDD,15.6'' Display, Windows10 Home,1 Year Agent Warranty (Black)","Rs. 137,999",,,Ratings 8,CELLX (PVT) LTD,Dell
HP 15-FD0333NIA i3 13TH GEN 4GB RAM 256GB NVME,"Rs. 138,000",,,No Ratings,AXITA Computers (Pvt) Ltd,HP
Asus Vivobook Laptop E1404G,"Rs. 138,000",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Asus
HP EliteBook 840 G6 (NEW LOGO i7 / 16 GB RAM ),"Rs. 139,000",,,No Ratings,OneMart_Technologies,HP
Lenovo ThinkPad T14 i7 11th Gen 16GB 512GB SSD Laptop,"Rs. 139,500",,,No Ratings,UB18 Computers Pvt Ltd,Lenovo
DELL LATITUDE 5400 CORE I5 8TH GEN 8GB RAM / 256GB SSD HIGH QUALITY LAPTOP,"Rs. 139,500","Rs. 148,500",-6%,No Ratings,Lushan enterprices,Dell
Asus Vivobook E1404G Core i3 N305 13th Gen,"Rs. 141,000","Rs. 150,000",-6%,No Ratings,Thinex.lk,Asus
HP Laptop 15-fc0266AU AMD Ryzen™ 3 7320U,"Rs. 141,249",,,No Ratings,Lenovo by Forttune,HP
" Hp Elitebook 840 G8 , i7 11th Gen , 16GB Ram 512GB SSD 14inch Laptop","Rs. 143,750","Rs. 150,000",-4%,No Ratings,UB18 Computers Pvt Ltd,HP
HP AMD Athlon Silver 7120U / 8GB / 512GB / 15.6'' FHD / WIN 11/ INTEL UHD/ 2 Years/ Backpack,"Rs. 143,900","Rs. 159,900",-10%,No Ratings,Tokyo City Center,HP
[REFURBISHED] Lenovo ThinkPad T14 i7 11th Generation Laptop,"Rs. 149,500",,,No Ratings,AcePro Trading Pvt Ltd,Lenovo
[REFURBISHED] Lenovo ThinkPad T14 i7 11th Generation Laptop,"Rs. 144,525",,,Ratings 7,AcePro Trading Pvt Ltd,Lenovo
Samsung Laptop - Samsung Galaxy Ion Laptop - 13.3 QLED Display 256GB SSD,"Rs. 145,000","Rs. 195,000",-26%,No Ratings,Singha Mobiles,Unspecified
Dell Latitude 5410 Core i5 10th gen 16GB-RAM / 256GB-SSD Premium Business-Class Laptop,"Rs. 145,000",,,No Ratings,INOFIX SOLUTIONS,Dell
DELL LATITUDE 5490 CORE I5 16TH GEN 8GB RAM / 256GB SSD HIGH QUALITY LAPTOP,"Rs. 145,000",,,No Ratings,Lushan enterprices,Dell
HP ELITEBOOK 840 G5 | Core i5 8th Gen | 8GB DDR4 RAM | 256GB SSD,"Rs. 145,000",,,No Ratings,Dealz_LK,HP
"Dell Latitude 5490 , Core i5 8th Gen 16GB Ram , 256GB SSD 14inch Laptop","Rs. 145,000",,,No Ratings,Sanva Electronics,Dell
HP Elitebook 840 G3,"Rs. 145,000",,,Ratings 4,Cyber Power LK 1637406306,HP
Dell Vostro 3520 i3 12th Gen Laptop,"Rs. 148,000","Rs. 165,000",-10%,No Ratings,Elinext Plaza,Dell
DELL VOSTRO 3520 12 GEN CORE I3,"Rs. 149,000",,,No Ratings,UNISYSCOMPUTERSYSTEM,Dell
ASUS EXpert Book B1502CB,"Rs. 149,500",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Asus
" Hp Elitebook 840 G8 , i7 11th Gen , 16GB Ram 512GB SSD 14inch Laptop","Rs. 150,000",,,No Ratings,AcePro Trading Pvt Ltd,HP
DELL VOSTRO 3520 I3 12 GEN 8GB RAM 512 GB SSD,"Rs. 150,000",,,No Ratings,Buye.lk,Dell
HP 15 FD0043NQ Core i3 1315U 13th Gen,"Rs. 150,000","Rs. 170,000",-12%,No Ratings,Thinex.lk,HP
Dell Vostro 3520 Core i3 12th Gen,"Rs. 150,000","Rs. 170,000",-12%,No Ratings,Thinex.lk,Dell
HP LAPTOP 250 G10 13 GEN I3,"Rs. 150,000",,,No Ratings,Buye.lk,HP
"HP 250 G9 Intel Core i3 1215U/8GB/512GB/DOS/1 YR WARRANTY/15""","Rs. 150,000",,,No Ratings,Winsoft,HP
"Lenovo IdeaPad 3 15IAU7 Core i3 1215U/4GB/256/DOS/1 YR WARRANTY/15""","Rs. 150,000",,,No Ratings,Winsoft,Lenovo
HP 15S FD0042NQ Core i3 1315U 13th Gen,"Rs. 152,000","Rs. 165,000",-8%,No Ratings,Thinex.lk,HP
"Dell Latitude E7480 , Core i5 8th Gen 8GB Ram , 256GB SSD 14inch Laptop","Rs. 152,000",,,No Ratings,Dealz_LK,Dell
ASUS VIVOBOOK A1504V,"Rs. 152,500",,,No Ratings,Laptopstore.lk,Asus
DELL VOSTRO 3520 i3 12TH GEN 15.6″FHD LAPTOP,"Rs. 152,900",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Dell
"Dell Latitude 5480 , Core i5 6th Gen 16GB Ram , 256GB SSD 14inch Laptop","Rs. 154,000",,,No Ratings,Sanva Electronics,Dell
ASUS VIVOBOOK A1504V - i3 13 Gen | 512 GB SSD | 8GB DDR 4,"Rs. 155,000",,,No Ratings,KTS TECHNOLOGIES,Asus
Asus Vivobook X1502ZA Core i3 1220P,"Rs. 155,000","Rs. 165,000",-6%,No Ratings,Thinex.lk,Asus
ASUS VIVOBOOK A1504V 13 GEN CORE I3 8GB RAM 512 GB SSD,"Rs. 155,000",,,No Ratings,UNISYSCOMPUTERSYSTEM,Asus
Lenovo ThinkPad P53 i7-9850H (9th Gen) 32GB Ram 512GB SSD Quadro T1000 Graphic Card,"Rs. 178,750",,,No Ratings,AcePro Trading Pvt Ltd,Lenovo
Core i5 6th Gen 16GB Ram 256GB SDD Laptop 5480 Latitude,"Rs. 156,000",,,No Ratings,Dealz_LK,Dell
Asus VIVOBOOK A1504VA Core i3 1315U 13th Gen,"Rs. 158,500","Rs. 170,000",-7%,No Ratings,Thinex.lk,Asus
Asus ExpertBook B1502 (Core i3 12th Gen),"Rs. 158,500","Rs. 180,000",-12%,No Ratings,Thinex.lk,Asus
Dell Pricision 3551 i7 10th Gen 16GB DDR4 512GB SSD Nvidia P620 4GB Graphic 15.6 workstation Laptop,"Rs. 158,700",,,No Ratings,UB18 Computers Pvt Ltd,Dell
intel core i5 Laptop,"Rs. 160,000","Rs. 175,000",-9%,No Ratings,Vtech.lk,Unspecified
Dell Vostro 3520 i3 12th Gen 15.6” FHD Laptop,"Rs. 163,900",,,No Ratings,A1Future Zone,Dell
Dell Latitude 5510 Core i5 10th gen 8GB-RAM / 256GB-SSD Premium Business-Class Laptop,"Rs. 164,500",,,No Ratings,INOFIX SOLUTIONS,Dell
Asus Vivobook X1404ZA Core i3 1215U 12th Gen,"Rs. 165,000","Rs. 180,000",-8%,No Ratings,Thinex.lk,Asus
Dell Latitude 5420 Core i5 11th Gen Laptop,"Rs. 165,000",,,No Ratings,Zigzag Techie,Dell
Apple MacBook Pro 15inch i7 16GB RAM 500GB SSD touchbar,"Rs. 165,500",,,Ratings 17,AcePro Trading Pvt Ltd,Apple
HP 15 EQ2023NQ AMD Ryzen 5 5500U,"Rs. 167,000","Rs. 180,000",-7%,No Ratings,Thinex.lk,HP
ASUS Vivobook 15 x1502ZA i3-1215U | 4GB | 512NVMe | DOS,"Rs. 169,000","Rs. 180,000",-6%,No Ratings,NEXTECH,Asus
ASUS P1412CE i3 11th Gen 4GB 1TB,"Rs. 169,000",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Asus
HP PRO BOOK 245 Laptop,"Rs. 169,000",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,HP
"Asus ROG Strix Hero Edition Gaming Laptop, 15.6” IPS-Type Full HD, Intel Core i7-7700HQ Processor, GeForce GTX 1060 6GB, 16GB DDR4, 256GB M.2 SSD RGB, Windows 10 Home","Rs. 169,900","Rs. 210,000",-19%,No Ratings,Dealz_LK,Asus
"ASUS Vivobook 15, X1504VA-NJ3856WS, 13th Gen i3, 8GB RAM, 512GB SSD, Cool Silver","Rs. 169,999",,,No Ratings,SINGER SHOWROOM AGALAWATTA,Asus
I7 8TH GEN ± 2GB NVIDIA VGA ± 16GB RAM- 256GB NVME SSD Laptop ( HP PROBOOK 450),"Rs. 169,999","Rs. 200,000",-15%,No Ratings,CS CENTER 2.0,HP
Asus Vivobook E1504FA AMD Ryzen 5 7520U,"Rs. 170,000","Rs. 190,000",-11%,No Ratings,Thinex.lk,Asus
LENOVO IDEAPAD SLIM 3 15IRU8/ I3 13TH LAPTOP,"Rs. 170,500",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Lenovo
HP PRO BOOK 245 G8 RYZEN 3 Brand New Laptop,"Rs. 171,350",,,No Ratings,SUHADA COMPUTERS,HP
"ACER ASPIRE A15-59P INTEL CORE 3 100U | INTEL GRAPHICS | 8GB DDR5 | 512GB GEN 4 M.2 NVME SSD | 15.6"" INCH FHD DISPLAY | WINDOWS 11 HOME-GRAY","Rs. 174,000",,,No Ratings,Games Street,Acer
"KUU YEPBOOK 15.6'' Laptop 19.8mm Ultra Thin, Intel N5095 4 Cores 2.0GHz, 16GB DDR4 512GB SSD, 1920x1080 16:9 FHD Screen, Fingerprint Unlock, 2.4/5GHz Dual Wi-Fi BT4.2 HD Camera, USB3.0x2 HDMI Micro SD Audio, Backlit Keyboard, Windows 11 Pro - EU Plug","Rs. 175,294","Rs. 236,646",-26%,No Ratings,ZZHI,Unspecified
ASUS VIVOBOOK X1504V i5 13 Gen,"Rs. 176,500",,,No Ratings,KTS TECHNOLOGIES,Asus
Asus Vivobook 15 X513EP,"Rs. 177,000",,,No Ratings,LapTech,Asus
Acer Aspire 3 Spin 14 Core i3 N305 13th Gen,"Rs. 177,000","Rs. 190,000",-7%,No Ratings,Thinex.lk,Acer
Lenovo IdeaPad Slim 3 | i5 Laptop Computer,"Rs. 177,000",,,No Ratings,Sell-X Computers & Electronics,Lenovo
"Dell Latitude 5480 , Core i5 6th Gen 16GB Ram , 256GB SSD 14inch Laptop","Rs. 177,000",,,Ratings 5,Sanva Electronics,Dell
Asus laptop x515j intel cor i3 10th ge 4gb 512gb ssd win 11,"Rs. 178,500",,,No Ratings,LAPTOPSTORE.LK,Asus
ASUS Vivobook Go 15 E1504GAB i3-N305 | 8GB | 512GB | Win 11,"Rs. 178,700","Rs. 195,000",-8%,No Ratings,NEXTECH,Asus
Lenovo ideapad Slim 3 Core i5 12450H ( H Proc ),"Rs. 179,000","Rs. 195,000",-8%,No Ratings,Thinex.lk,Lenovo
LENOVO IDEAOAD V15 G4 LAP,"Rs. 179,000",,,Ratings 1,Buye.lk,Lenovo
LENOVO ideapad slim 3 15IRH 8,"Rs. 179,500",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Lenovo
DELL VOSTRO 3520 CORE i5 12th GEN BRAND NEW LAPTOP,"Rs. 179,900","Rs. 195,000",-8%,No Ratings,Elinext Plaza,Dell
"VAIO - FE14 Laptop | Intel Core i5-10210U | 14.1"" FHD Screen | 8GB DDR4 2400MHz | 512GB SSD | Intel UHD Graphics | Windows 10 Home/Pro","Rs. 179,999",,,No Ratings,CELLX (PVT) LTD,Unspecified
Asus Vivobook Go14 ( brand new condition ),"Rs. 180,000","Rs. 250,000",-28%,No Ratings,monro fashion,Asus
Microsoft Surface Laptop,"Rs. 180,000",,,No Ratings,ZR Store,Unspecified
Asus VIVOBOOK A1504V,"Rs. 182,000",,,No Ratings,Digital Care,Asus
"LENOVO X1 YOGA I7-16GB, 512gb Nvme SSD LAPTOP","Rs. 182,850",,,No Ratings,SUHADA COMPUTERS,Lenovo
"MSI Modern 15 F13MG - 13th Gen Intel Core i3, 8GB RAM, 512GB SSD, Intel Graphics (Gray)","Rs. 184,500",,,No Ratings,SAP Computers,MSI
HP Elitebook 840 G3/Core i5 6th Gen/8GB Ram/256GB SSD 14.6 inch Laptop,"Rs. 184,500",,,No Ratings,Sanva Electronics,HP
LENOVO V15 G4 LAPTOP INTEL CORE 5 8GB RAM 512 GB SSD,"Rs. 185,000",,,No Ratings,Buye.lk,Lenovo
Asus Vivobook X1504ZA Core i5 1235U 12th Gen,"Rs. 185,000","Rs. 195,000",-5%,No Ratings,Thinex.lk,Asus
Satellite Pro C40-H,"Rs. 185,000",,,No Ratings,Dayarathna Technologies,Unspecified
ASUS VIVOBOOK 15 X1504VAP-NJ3850W INTEL CORE 3 14TH GEN 15.6″INCH FHD LAPTOP WITH BAG,"Rs. 185,777",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Asus
HP 15S FQ5004NIA I3 12TH Laptop,"Rs. 185,900",,,No Ratings,techroof computer,HP
Dell Vostro 3510 Core I3 Laptop 4Gb 1Tb Dos,"Rs. 185,900",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Dell
Lenovo V15 G4 IRU i3 13th Gen Business Series Laptop with Free Lenovo LP40 Pro Earbuds and Backpack,"Rs. 186,950",,,No Ratings,Thinex.lk,Lenovo
DELL VOSTRO CORE I5 12 GEN,"Rs. 187,000",,,No Ratings,UNISYSCOMPUTERSYSTEM,Dell
Acer Aspire A15-51P-39HQ laptop,"Rs. 187,000",,,No Ratings,Lenovo by Forttune,Acer
HP Laptop 15-fd0487TU-i3 1315U/8GB/512SSD/15.6′ FHD/INTEL IRIS/Win11H/NSV/3Y/Backpack,"Rs. 187,900","Rs. 199,900",-6%,No Ratings,Tokyo City Center,HP
Lenovo V15 G4 IRU Core i5 13420H 13th Gen,"Rs. 188,000","Rs. 199,000",-6%,No Ratings,Thinex.lk,Lenovo
ASUS Vivobook 15 X1504VA i3-1315U | 8GB | 512GB | Win 11,"Rs. 188,000","Rs. 200,000",-6%,No Ratings,NEXTECH,Asus
Asus ExpertBook B1502CB – i5,"Rs. 188,500",,,No Ratings,ASUS,Asus
HP Star Book15 laptop i7,"Rs. 189,000","Rs. 244,000",-23%,No Ratings,ABtronics,HP
ASUS ExpertBook L1500 Ryzen 3 3250U - 4GB - 256GB - AMD Radeon Graphics,"Rs. 189,000","Rs. 200,000",-6%,No Ratings,NEXTECH,Asus
HP 250 G8 i3 Notebook Laptop,"Rs. 189,000",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,HP
HP Laptop 15-fd0487TU-i3 1315U/8GB/512SSD/15.6′ FHD/INTEL IRIS/Win11H/NSV/3Y/Backpack,"Rs. 189,900","Rs. 215,900",-12%,No Ratings,Nagoya Trade Center,HP
HP i7 8TH GEN ± TOUCH | 16GB RAM - 256GB SSD Laptop ( HP ELITEBOOK 850 G6 ),"Rs. 189,999","Rs. 250,000",-24%,No Ratings,CS CENTER 2.0,HP
DELL INSPIRON 3520 I5 12TH GEN,"Rs. 190,000","Rs. 211,000",-10%,No Ratings,Elinext Plaza,Dell
DELL INSPIRON 3511 I3-1115G4 4GB 256GB WIN 10,"Rs. 190,000","Rs. 200,000",-5%,No Ratings,NEXTECH,Dell
Lenovo Ideapad 3,"Rs. 190,000",,,No Ratings,Techtrove,Lenovo
Asus As-D-X513E-1631/I3-11Th/4Gb/512Ssd Laptop,"Rs. 190,900",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Asus
HP LAPTOP 250 G10 13 GEN INTEL CORE I5 16GB RAM 512GB SSD,"Rs. 193,000",,,No Ratings,Buye.lk,HP
Dell Vostro 3510 Core i3 11th Gen 4GB Ram 256GB Nvme Laptop,"Rs. 193,500",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Dell
ASUS A1504V VIVOBOOK INTEL CORE I5 13 GEN 8GB RAM 512 GB SSD,"Rs. 195,000",,,No Ratings,Buye.lk,Asus
ASUS Vivobook Intel Core i5 13th Generation X1605VA,"Rs. 195,000",,,No Ratings,Inspire LK,Asus
MSI Modern 15 i5 Laptop,"Rs. 195,000",,,No Ratings,Sell-X Computers & Electronics,MSI
Asus ExpertBook B1502CBA Core i5 1235U 12th Gen,"Rs. 195,000","Rs. 215,000",-9%,No Ratings,Thinex.lk,Asus
Asus Vivobook X1504VA Core i5 1335U 13th Gen,"Rs. 195,000","Rs. 210,000",-7%,No Ratings,Thinex.lk,Asus
Dell Vostro 3520 Core i5 12th Gen,"Rs. 195,000","Rs. 215,000",-9%,No Ratings,Thinex.lk,Dell
ASUS X1504V I5 13 GEN 8GB RAM 512GB SSD LAPTOP,"Rs. 195,000",,,No Ratings,UNISYSCOMPUTERSYSTEM,Asus
Dell Inspiron 15 3501 i7 11th Generation Laptop Computer,"Rs. 195,000",,,No Ratings,CyberLink Tech Store,Dell
HP 15s fq5786tu Intel Core i3 12th Gen 512 NVMe M.2 Laptop,"Rs. 195,000",,,Ratings 1,Elinext Plaza,HP
HP LAPTOP 250 G10 CORE I5 13 GEN,"Rs. 196,000",,,No Ratings,UNISYSCOMPUTERSYSTEM,HP
ASUS VIVOBOOK X1504VA,"Rs. 197,500",,,No Ratings,Laptopstore.lk,Asus
MacBook Pro and Air M3 8GB 256GB SSD (Refurbished),"Rs. 198,500",,,No Ratings,AcePro Trading Pvt Ltd,Apple
Asus Vivobook Laptop,"Rs. 199,000",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Asus
HP 250 G10 I5 13 GEN 8GB RAM 512 GB SSD,"Rs. 199,000",,,Ratings 1,Buye.lk,HP
Dell Vostro 3500 Brand New Laptop,"Rs. 199,870",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Dell
MSI MODERN 15F13MG 13 GEN CORE i5 16GB RAM 512 GB SSD,"Rs. 200,000",,,No Ratings,Buye.lk,MSI
LENOVO IDEAPAD 3 15IAU7 i5 12 gen,"Rs. 200,000",,,No Ratings,Buye.lk,Lenovo
DERE T60 2-in-1 tablet 12G+1T HD - 01-eu,"Rs. 207,982","Rs. 268,376",-23%,No Ratings,Fengshi,Unspecified
CENAVA F158G Laptop Intel Celeron J4125 15.6 Inch 1920 x 1080 IPS Screen Intel UHD Graphics 600 Windows 10 8GB DDR4 128GB SSD Full Size Backlit Keyboard English Version - Silver,"Rs. 201,637","Rs. 272,209",-26%,No Ratings,Nerys,Unspecified
ASUS VIVOBOOK 15 X1504V,"Rs. 202,060",,,No Ratings,Digital Care,Asus
Asus ExpertBook B1 B1502CVA i5-1335U | 8GB | 512GB | DOS,"Rs. 205,000","Rs. 225,000",-9%,No Ratings,NEXTECH,Asus
Dell Inspiron 3511 Intel Core i3 11th Gen 4GB Ram 256 Nvme,"Rs. 205,000",,,No Ratings,E - Zone Technologies (Pvt) Ltd,Dell
Dell Vostro 3500 Brand New Laptop,"Rs. 208,550",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,Dell
Acer Aspire 15 A15-51P Core 3-100U | 8GB | 512GB | WIN 11,"Rs. 210,000","Rs. 230,000",-9%,No Ratings,NEXTECH,Acer
HP 250 G10 Core i5 1335U 13th Gen,"Rs. 210,000","Rs. 225,000",-7%,No Ratings,Thinex.lk,HP
Laptop DELL Core i3 11th Gen/256GB NVMe/4GB DDR 4 RAM,"Rs. 210,000",,,No Ratings,C PLUS COMPUTERS,Dell
